id,(Intercept),SeasonFall,SeasonSpring
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Myroides,0.2530595207733258,0.3170641115462255,0.30545526494339936
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas,0.11922366927579393,0.15880035821452385,0.14869564018394865
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;__,0.16182532211751555,0.1997371343675013,0.1963707654671675
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,0.24978895686359437,0.2753536313155763,0.3009731314049433
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,0.19026842685082548,0.2592106625307549,0.2289504058789516
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,0.1793231462447932,0.2741857813322428,0.24399751885420645
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__,0.12898401722530042,0.22605175224141622,0.17085106589925741
d__Bacteria;__;__;__;__;__,0.1369958045333672,0.16547310455599096,0.1605896719655853
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella,0.18775060963683082,0.2629923995746056,0.24499319032653408
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelothrix,0.2769094587509262,0.32258141754718583,0.31579384891353457
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,0.2498494032084144,0.3141608196152674,0.32414602219161537
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;__,0.24735537707259642,0.33388176320050933,0.3180189464084082
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__,0.27685334557339336,0.33288952747824574,0.3148771960634621
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;__,0.24779372105801287,0.26417140875881145,0.25651827474648836
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;__,0.08306409829773534,0.13616590523060965,0.11356667115790016
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Kurthia,0.20862594769868878,0.2844648818254354,0.2783930539171874
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__uncultured,0.14265338085731785,0.1720594281779215,0.16508745983819043
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Tissierella,0.22302923573047323,0.27933154157885953,0.24505694045146045
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium-Methylorubrum,0.09807701451334155,0.13273644109850502,0.11256258769651738
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,0.2313046888850886,0.24728689513549404,0.2609285367309887
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1,0.3224872648987609,0.38339381140377593,0.39300526099332417
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Tepidimicrobium,0.19990184171010383,0.26147257311144734,0.21299530193412672
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc,0.13240908813660876,0.23213119757700054,0.20169104379890257
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,0.10582724244816656,0.22668736051242458,0.23194458692132922
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Vagococcaceae;g__Vagococcus,0.23580960080739324,0.3345155398072539,0.3176765922547633
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia,0.13547627847299773,0.16296667606829715,0.15078081548546038
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter,0.24858809301802884,0.29097064958558594,0.2952167692815518
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Vitreoscilla,0.11058050443308225,0.15689595216141253,0.12342283786305878
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium,0.11325881532572853,0.20813474982406802,0.16218753653282234
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Providencia,0.23013513247171535,0.28434469147082836,0.2962030880467687
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Brochothrix,0.08026582459944545,0.15923646063922348,0.17027948551378944
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas,0.2010597114734497,0.2112888593593719,0.22109648208195962
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Sporosarcina,0.3464960612809851,0.3761845052974797,0.36437713421606693
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas,0.18858748240828835,0.1984957327128789,0.19577314766653678
